gswp3-w5e5,20crv3,20crv3-era5,20crv3-w5e5
0.858934169278997,0.896341463414634,0.91131498470948,0.866043613707165
0.861635220125786,0.897832817337461,0.911949685534591,0.850931677018634
0.854368932038835,0.85459940652819,0.884848484848485,0.861635220125786
0.860759493670886,0.93167701863354,0.940438871473354,0.855384615384615
0.860759493670886,0.891566265060241,0.934984520123839,0.870662460567823
0.867924528301887,0.876543209876543,0.930379746835443,0.86875
0.831746031746032,0.921135646687697,0.925,0.83974358974359
0.874213836477987,0.906832298136646,0.935483870967742,0.852564102564103
0.843450479233227,0.892307692307692,0.923076923076923,0.863354037267081
0.857142857142857,0.904615384615385,0.926984126984127,0.864353312302839
