gswp3-w5e5,20crv3,20crv3-era5,20crv3-w5e5
0.37,0.29,0.34,0.36
0.37,0.31,0.37,0.35
0.39,0.25,0.32,0.37
0.37,0.32,0.38,0.34
0.38,0.27,0.35,0.38
0.38,0.29,0.39,0.37
0.37,0.34,0.38,0.38
0.38,0.32,0.46,0.39
0.38,0.3,0.42,0.34
0.35,0.31,0.41,0.37
