gswp3-w5e5,20crv3,20crv3-era5,20crv3-w5e5
temperature_winter,10.5,8,5,10.4
temperature_spring,1.4,2.5,1.2,1.5
temperature_summer,16.3,17.2,20.1,16.2
temperature_inFall,1.8,3.6,2.1,1.8
precipitation_winter,5.8,11.7,10.3,5.9
tprecipitation_spring,6.2,3.9,2.5,6.2
precipitation_summer,8.5,8.3,12.7,8.3
precipitation_inFall,1.9,4.8,3.5,1.9
relative_humidity_winter,10.1,0.9,9.8,10.3
relative_humidity_spring,6.3,3.1,8.1,6.3
relative_humidity_summer,1,4.6,0.9,1
relative_humidity_inFall,7.5,7.8,6.7,7.4
primary_forest_areas,0.5,0.7,0.1,0.5
primary_non-forest_areas,2.3,2.8,2.3,2.3
secondary_forest_areas,0.4,0.2,0.1,0.4
secondary_non-forest_areas,4.8,3.5,1.9,4.8
croplands_all_categories,4.7,5.8,4.2,4.8
managed_pasture_and_rangeland,7.1,7.9,5.5,7.1
human_pop_density_log10,2.7,2.9,2.8,2.8
